Date,Price,Open,High,Low,Volume,Change,Unit
2010-10-16,1369.3666666666668,1377.5666666666666,1382.6,1359.8166666666666,0.0,0.0,0.22
2010-10-17,1369.5833333333333,1374.2833333333333,1378.95,1356.4333333333334,0.0,0.0,0.22
2010-10-18,1369.8,1371.0,1375.3,1353.05,0.0,0.05,0.22
2010-10-19,1335.45,1369.4,1372.05,1329.3,0.0,-2.51,-34.35
2010-10-20,1346.35,1334.8,1348.2,1330.8,0.0,0.82,10.9
2010-10-21,1325.5,1346.1,1350.05,1318.74,0.0,-1.55,-20.85
2010-10-22,1328.2,1326.05,1329.35,1316.09,0.0,0.2,2.7
2010-10-23,1332.2833333333333,1327.9966666666667,1336.3,1321.3266666666666,0.0,0.0,4.08
2010-10-24,1336.3666666666668,1329.9433333333334,1343.25,1326.5633333333333,0.0,0.0,4.08
2010-10-25,1340.45,1331.89,1350.2,1331.8,0.0,0.92,4.08
2010-10-26,1339.9,1339.45,1343.9,1328.41,0.0,-0.04,-0.55
2010-10-27,1325.3,1339.65,1344.0,1319.24,0.0,-1.09,-14.6
2010-10-28,1344.35,1325.59,1346.5,1323.55,0.0,1.44,19.05
2010-10-29,1359.55,1344.09,1359.95,1335.56,0.0,1.13,15.2
2010-10-30,1356.95,1349.79,1362.13,1340.3066666666666,0.0,0.0,-2.6
2010-10-31,1354.35,1355.49,1364.31,1345.0533333333333,0.0,0.0,-2.6
2010-11-01,1351.75,1361.19,1366.49,1349.8,0.0,-0.57,-2.6
2010-11-02,1357.5,1351.25,1359.95,1350.7,0.0,0.43,5.75
2010-11-03,1348.65,1357.96,1365.25,1324.64,0.0,-0.65,-8.85
2010-11-04,1392.75,1348.09,1393.66,1346.75,0.0,3.27,44.1
2010-11-05,1393.9,1392.69,1398.35,1374.15,0.0,0.08,1.15
2010-11-06,1399.0833333333335,1393.4266666666667,1402.4666666666667,1378.48,0.0,0.0,5.18
2010-11-07,1404.2666666666667,1394.1633333333334,1406.5833333333333,1382.8100000000002,0.0,0.0,5.18
2010-11-08,1409.45,1394.9,1410.7,1387.14,0.0,1.12,5.18
2010-11-09,1390.95,1410.41,1425.36,1383.74,0.0,-1.31,-18.5
2010-11-10,1403.75,1392.7,1410.8,1384.25,0.0,0.92,12.8
2010-11-11,1409.35,1403.3,1418.25,1396.95,0.0,0.4,5.6
2010-11-12,1368.95,1409.9,1410.61,1360.26,0.0,-2.87,-40.4
2010-11-13,1365.7966666666666,1395.5833333333335,1399.46,1358.7033333333334,0.0,0.0,-3.15
2010-11-14,1362.6433333333334,1381.2666666666667,1388.31,1357.1466666666665,0.0,0.0,-3.15
2010-11-15,1359.49,1366.95,1377.16,1355.59,0.0,-0.69,-3.15
2010-11-16,1340.85,1360.4,1364.85,1329.85,0.0,-1.37,-18.64
2010-11-17,1337.25,1340.0,1345.2,1331.3,0.0,-0.27,-3.6
2010-11-18,1353.85,1336.0,1359.55,1335.59,0.0,1.24,16.6
2010-11-19,1353.5,1350.49,1363.29,1341.9,0.0,-0.03,-0.35
2010-11-20,1357.7833333333333,1351.8933333333334,1364.8966666666665,1344.1166666666668,0.0,0.0,4.28
2010-11-21,1362.0666666666666,1353.2966666666666,1366.5033333333333,1346.3333333333333,0.0,0.0,4.28
2010-11-22,1366.35,1354.7,1368.11,1348.55,0.0,0.95,4.28
2010-11-23,1377.2,1366.4,1382.4,1356.35,0.0,0.79,10.85
2010-11-24,1374.9,1377.0,1381.7,1369.6,0.0,-0.17,-2.3
2010-11-25,1374.62,1373.55,1375.4,1368.25,0.0,-0.02,-0.28
2010-11-26,1364.42,1374.49,1375.16,1350.64,0.0,-0.74,-10.2
2010-11-27,1365.7366666666667,1371.0933333333332,1373.8166666666668,1352.0833333333335,0.0,0.0,1.32
2010-11-28,1367.0533333333333,1367.6966666666667,1372.4733333333334,1353.5266666666666,0.0,0.0,1.32
2010-11-29,1368.37,1364.3,1371.13,1354.97,0.0,0.29,1.32
2010-11-30,1384.85,1368.4,1390.15,1363.04,0.0,1.2,16.48
2010-12-01,1387.1,1385.7,1397.11,1382.15,0.0,0.16,2.25
2010-12-02,1384.65,1387.69,1398.6,1382.95,0.0,-0.18,-2.45
2010-12-03,1415.05,1385.36,1415.91,1383.55,0.0,2.2,30.4
2010-12-04,1417.8833333333332,1395.4266666666665,1419.7766666666666,1392.0833333333333,0.0,0.0,2.83
2010-12-05,1420.7166666666667,1405.4933333333333,1423.6433333333334,1400.6166666666668,0.0,0.0,2.83
2010-12-06,1423.55,1415.56,1427.51,1409.15,0.0,0.6,2.83
2010-12-07,1401.89,1423.45,1431.45,1396.49,0.0,-1.52,-21.66
2010-12-08,1382.1,1401.19,1404.42,1371.85,0.0,-1.41,-19.79
2010-12-09,1387.64,1382.05,1394.54,1379.68,0.0,0.4,5.54
2010-12-10,1386.05,1387.8,1392.55,1372.3,0.0,-0.11,-1.59
2010-12-11,1388.62,1386.4533333333334,1394.8466666666666,1375.05,0.0,0.0,2.57
2010-12-12,1391.19,1385.1066666666666,1397.1433333333334,1377.8,0.0,0.0,2.57
2010-12-13,1393.76,1383.76,1399.44,1380.55,0.0,0.56,2.57
2010-12-14,1396.25,1393.4,1408.1,1392.05,0.0,0.18,2.49
2010-12-15,1379.8,1396.05,1397.4,1377.39,0.0,-1.18,-16.45
2010-12-16,1369.7,1380.8,1386.75,1361.75,0.0,-0.73,-10.1
2010-12-17,1375.41,1371.51,1379.36,1365.05,0.0,0.42,5.71
2010-12-18,1378.49,1373.2733333333333,1382.3899999999999,1368.78,0.0,0.0,3.08
2010-12-19,1381.5700000000002,1375.0366666666666,1385.42,1372.51,0.0,0.0,3.08
2010-12-20,1384.65,1376.8,1388.45,1376.24,0.0,0.67,3.08
2010-12-21,1385.74,1385.26,1392.39,1381.16,0.0,0.08,1.09
2010-12-22,1385.0,1385.75,1391.2,1382.04,0.0,-0.05,-0.74
